[0.000000] (-) TimerEvent: {}
[0.000169] (my_world) JobQueued: {'identifier': 'my_world', 'dependencies': OrderedDict()}
[0.000196] (nav2_system) JobQueued: {'identifier': 'nav2_system', 'dependencies': OrderedDict()}
[0.000206] (provide_map) JobQueued: {'identifier': 'provide_map', 'dependencies': OrderedDict()}
[0.000214] (slam) JobQueued: {'identifier': 'slam', 'dependencies': OrderedDict()}
[0.000221] (robo_entrega) JobQueued: {'identifier': 'robo_entrega', 'dependencies': OrderedDict([('my_world', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world'), ('nav2_system', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system'), ('provide_map', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map'), ('slam', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam')])}
[0.000235] (my_world) JobStarted: {'identifier': 'my_world'}
[0.007600] (nav2_system) JobStarted: {'identifier': 'nav2_system'}
[0.016056] (provide_map) JobStarted: {'identifier': 'provide_map'}
[0.022581] (slam) JobStarted: {'identifier': 'slam'}
[0.038507] (my_world) JobProgress: {'identifier': 'my_world', 'progress': 'cmake'}
[0.046839] (my_world) JobProgress: {'identifier': 'my_world', 'progress': 'build'}
[0.046974] (my_world) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world', '--', '-j10', '-l10'], 'cwd': '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world', 'env': OrderedDict([('GJS_DEBUG_TOPICS', 'JS ERROR;JS LOG'), ('LESSOPEN', '| /usr/bin/lesspipe %s'), ('LANGUAGE', 'es:en'), ('USER', 'haoxu'), ('LC_TIME', 'es_ES.UTF-8'), ('SSH_AGENT_PID', '1354'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/lib/x86_64-linux-gnu/gazebo-11/plugins:/opt/ros/galactic/opt/yaml_cpp_vendor/lib:/opt/ros/galactic/opt/rviz_ogre_vendor/lib:/opt/ros/galactic/lib/x86_64-linux-gnu:/opt/ros/galactic/lib'), ('HOME', '/home/haoxu'), ('OLDPWD', '/home/haoxu'), ('DESKTOP_SESSION', 'ubuntu'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('LC_MONETARY', 'es_ES.UTF-8'), ('MANAGERPID', '1149'), ('ROS_LOG_DIR', '/home/haoxu/my_logs'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('COLCON_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install:/home/haoxu/turtlebot3_ws/install'), ('ROS_DISTRO', 'galactic'), ('LOGNAME', 'haoxu'), ('JOURNAL_STREAM', '8:34032'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'haoxu'), ('TERM', 'xterm-256color'), ('GAZEBO_MODEL_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/src/turtlebot3_simulations/turtlebot3_gazebo/models:'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/opt/ros/galactic/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin'), ('SESSION_MANAGER', 'local/haoxu-VirtualBox:@/tmp/.ICE-unix/1434,unix/haoxu-VirtualBox:/tmp/.ICE-unix/1434'), ('INVOCATION_ID', '5079d081fc6e4e73a462acecc5599bb0'), ('PAPERSIZE', 'a4'), ('XDG_MENU_PREFIX', 'gnome-'), ('LC_ADDRESS', 'es_ES.UTF-8'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/2514e317_785d_482b_9a71_3d754e4734fe'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':0'), ('LANG', 'es_ES.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('LC_TELEPHONE', 'es_ES.UTF-8'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.156'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('ROS_DOMAIN_ID', '1'), ('AMENT_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/opt/ros/galactic'), ('SHELL', '/bin/bash'), ('LC_NAME', 'es_ES.UTF-8'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('LC_MEASUREMENT', 'es_ES.UTF-8'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('GJS_DEBUG_OUTPUT', 'stderr'), ('LC_IDENTIFICATION', 'es_ES.UTF-8'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/my_world'), ('TURTLEBOT3_MODEL', 'burger'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/build/nav2_system:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map/lib/python3.8/site-packages:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system/lib/python3.8/site-packages:/opt/ros/galactic/lib/python3.8/site-packages'), ('LC_NUMERIC', 'es_ES.UTF-8'), ('LC_PAPER', 'es_ES.UTF-8'), ('COLCON', '1'), ('VTE_VERSION', '6003'), ('CMAKE_PREFIX_PATH', '/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/robo_entrega:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world:/home/haoxu/turtlebot3_ws/install/turtlebot3_simulations:/home/haoxu/turtlebot3_ws/install/turtlebot3_gazebo:/home/haoxu/turtlebot3_ws/install/turtlebot3_fake_node:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/slam:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/provide_map:/home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/nav2_system:/opt/ros/galactic')]), 'shell': False}
[0.099195] (-) TimerEvent: {}
[0.199928] (-) TimerEvent: {}
[0.305752] (-) TimerEvent: {}
[0.343777] (my_world) StdoutLine: {'line': b'[100%] Built target turtlebot3_drive\n'}
[0.557025] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger/model.config\n'}
[0.557257] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger/model.sdf\n'}
[0.557562] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/meshes/burger_base.dae\n'}
[0.558035] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/meshes/lds.dae\n'}
[0.558117] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/meshes/tire.dae\n'}
[0.558404] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/model-1_4.sdf\n'}
[0.558582] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/model.config\n'}
[0.558801] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/turtlebot3_burger_pi/model.sdf\n'}
[0.559207] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/EandM.jpg\n'}
[0.559478] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/FetchLogo-1024x388.png\n'}
[0.559729] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/Logo-SICK.jpg\n'}
[0.559985] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/Logo-TheConstruct-primario-NEW-tagline-2.jpg\n'}
[0.560354] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/SCHUNK_logo.jpg\n'}
[0.560535] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/SICK_V2.png\n'}
[0.560777] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/SICK_V2_WHITE.jpg\n'}
[0.561159] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/box_labels.png\n'}
[0.561547] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/dummy.png\n'}
[0.561941] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/fetchit_env_version1.dae\n'}
[0.562040] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/fetchit_env_version2.dae\n'}
[0.562200] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/fetchit_env_version3.dae\n'}
[0.562409] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/fetchit_env_version4.dae\n'}
[0.562964] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/fetchit_manipulation_challenge_logo.png\n'}
[0.563300] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/icra2019-poster-image.png\n'}
[0.563563] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/rock1.JPG\n'}
[0.563776] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/meshes/warehouse_collision.stl\n'}
[0.564068] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/model.config\n'}
[0.564397] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/warehouse_1/model.sdf\n'}
[0.564759] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/Carpet_Berber_Pattern_Gray_.png\n'}
[0.564990] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/Stone_Brushed_Khaki_.png\n'}
[0.565326] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/Wood_Bamboo_Medium_.png\n'}
[0.565650] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/Wood_Cherry_Original_.png\n'}
[0.565832] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/__Wood_Bamboo_Medium_1.png\n'}
[0.566156] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/__auto_12.png\n'}
[0.566421] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/materials/textures/__auto_2.png\n'}
[0.566682] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/meshes/willowgarage_collision.dae\n'}
[0.566931] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/meshes/willowgarage_visual.dae\n'}
[0.567266] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/model-1_2.sdf\n'}
[0.567438] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/model-1_3.sdf\n'}
[0.567736] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/model-1_4.sdf\n'}
[0.567973] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/model.config\n'}
[0.568347] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/.fr-0T31rz/my_world/models/willowgarage/model.sdf\n'}
[0.568623] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_running.dae\n'}
[0.568879] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_sitting.dae\n'}
[0.569118] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_standing.dae\n'}
[0.569346] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_talking_a.dae\n'}
[0.569772] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_talking_b.dae\n'}
[0.570445] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/ANIMATION_walking.dae\n'}
[0.570648] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/SKIN_man_blue_shirt.dae\n'}
[0.570806] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/SKIN_man_green_shirt.dae\n'}
[0.570988] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/meshes/SKIN_man_red_shirt.dae\n'}
[0.571317] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/model.config\n'}
[0.571438] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/actor/model.sdf\n'}
[0.571858] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/bathroom_sink/materials/textures/bathroom_sink_diffuse.png\n'}
[0.571999] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/bathroom_sink/materials/textures/bathroom_sink_specular.png\n'}
[0.572406] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/bathroom_sink/meshes/bathroom_sink.dae\n'}
[0.572912] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/bathroom_sink/model.config\n'}
[0.573092] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/bathroom_sink/model.sdf\n'}
[0.573495] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/materials/textures/cafe_counter.png\n'}
[0.573737] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/meshes/cafe_counter.mtl\n'}
[0.573919] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/meshes/cafe_counter.obj\n'}
[0.574153] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/meshes/counter_no_sink.obj\n'}
[0.574534] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/meshes/counter_sink.obj\n'}
[0.574709] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/model.config\n'}
[0.574876] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/cafe_counter/model.sdf\n'}
[0.575169] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/brown_eye.png\n'}
[0.575470] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/casual_female.png\n'}
[0.575721] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/eyebrow002.png\n'}
[0.575959] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/eyelashes01.png\n'}
[0.576209] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/female_casualsuit01_diffuse.png\n'}
[0.576550] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/female_casualsuit01_normal.png\n'}
[0.577173] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/female_casualsuit02_diffuse.png\n'}
[0.577552] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/female_casualsuit02_normal.png\n'}
[0.577864] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/ponytail01_diffuse.png\n'}
[0.578157] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/shoes05_diffuse.png\n'}
[0.578598] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/tongue01_diffuse.png\n'}
[0.578961] (my_world) StdoutLine: {'line': b'-- Up-to-date symlink: /home/haoxu/Git/ProyectoRobotica_RoboEntrega/robot/install/my_world/share/my_world//models/casual_female/materials/textures/young_lightskinned_female_diffuse.png\n'}
